# GMM_covars from cordoba MODE: lpc.
4.981642991799894560e+00;3.246496240419157520e+00;1.676309070695254810e+00;9.040336677696722001e-01;9.315942801702420395e-01;8.555006580040510622e-01;1.110424490579986045e+00;7.447021646308634724e-01;7.535831629406192222e-01;6.704772334936258682e-01;1.085829574751509430e+00;9.449868231823300713e-01;9.122189188180477304e-01
5.257366005785056196e+00;4.012067307401959049e+00;1.572830961181383547e+00;1.679187278369794090e+00;1.821193023576528791e+00;1.662828753165412454e+00;1.115105213392224126e+00;1.399124622467922130e+00;1.025854982786543967e+00;5.817195350321521241e-01;7.453195767571015873e-01;1.092797613729857620e+00;9.566044224670339213e-01
6.145235273070819737e+00;3.872073080144735169e+00;1.470567988072625898e+00;1.638424724169436963e+00;5.066703692487936062e-01;8.858339069109543162e-01;1.340748906061183465e+00;8.371322520037720594e-01;6.775883895827085057e-01;6.342859672789359360e-01;4.246929138601004405e-01;1.142705460289514807e+00;1.330005744794447331e+00
7.417066488327967555e+00;3.595490548612766180e+00;3.064626782901229252e+00;2.227171140546808203e+00;1.311018809220209080e+00;1.052759252719082328e+00;1.132240901064588412e+00;8.544622343967430700e-01;7.015881695935156648e-01;5.782083234465781318e-01;8.412223667234824953e-01;3.154301700264411368e-01;6.606178456820418488e-01
6.246584383736515811e+00;3.899275577945938043e+00;2.826969529866401043e+00;1.185133160170965372e+00;7.590376583776590191e-01;1.123440897706081021e+00;1.386032448431829378e+00;7.051926918394501032e-01;7.201164062660844190e-01;6.814110573814687877e-01;7.196500499512535898e-01;5.306329312423797573e-01;1.053372939113546458e+00
6.752445792312175676e+00;4.216983494814864564e+00;2.086556286123345760e+00;1.565697820399855278e+00;2.127854151062185117e+00;8.829959526368670319e-01;9.193799987657347295e-01;5.076256362183851900e-01;9.645355841499921867e-01;5.389419222255563691e-01;4.495891611810559629e-01;5.953097786102349298e-01;5.286174142301521828e-01
1.171231290354958254e+01;3.954579393647089436e+00;1.714827199622596776e+00;1.855531782670043928e+00;1.663353806835206505e+00;1.002285997542943452e+00;9.182041172204908897e-01;1.093375024712282428e+00;1.019326951257927050e+00;5.520926171291918871e-01;4.022051650845267501e-01;5.667120521856353621e-01;7.463464778653016163e-01
8.277555749616292147e+00;1.496926923844957624e+00;1.322236413360692087e+00;6.353261689299530834e-01;3.692708977416369054e-01;1.037903541751345804e+00;3.833672744690083123e-01;7.908753464720493787e-01;2.563708020045144531e-01;2.493151494116959688e-01;2.967374310077351973e-01;2.456627894520528876e-01;6.890052099520248552e-01
1.174789330110536589e+01;5.074553238247405673e+00;3.362845044132490191e+00;1.926844337885782243e+00;1.810199021325753055e+00;1.290032613152056751e+00;8.936820613592090234e-01;1.091150092210441569e+00;1.184770518445152465e+00;8.872898803991454697e-01;1.156056752084019923e+00;1.313823113217357452e+00;1.191119975517195506e+00
1.577097732622260118e+01;5.722408408840956362e+00;1.302108803945190463e+00;2.138742796180070460e+00;2.669685902621007134e+00;1.576571340077624228e+00;1.247007186910547905e+00;1.583650565691364864e+00;9.627715423930146565e-01;8.378887570520620054e-01;1.205051181537241334e+00;1.037981439866855649e+00;1.761622912278900444e+00
